variant,auc,c_index,specificity_at_5day_cutoff,recall_at_5day_cutoff,specificity_at_recall_0.976,achieved_recall,per_fold_spec_mean,per_fold_spec_sd,per_fold_spec_ci_low,per_fold_spec_ci_high,per_fold_specs,delta_auc_vs_committed,delta_cidx_vs_committed,delta_spec_vs_committed,exceeds_fold_noise_sd0.05
V0_baseline_fixed_config,0.870440496492948,0.8126200279315785,0.5372168284789643,0.970954356846473,0.5242718446601942,0.979253112033195,0.5372672436401784,0.047830289381149256,0.4778780952919375,0.5966563919884194,"[np.float64(0.6098), np.float64(0.4959), np.float64(0.5484), np.float64(0.4919), np.float64(0.5403)]",-0.0008955035070520312,0.0004030279315785368,-0.019417171521035614,False
V1_embeddings_pca16_added,0.868018907196283,0.8113725220380638,0.5485436893203883,0.9695712309820194,0.5275080906148868,0.9764868603042877,0.5485313401521112,0.05773497182056595,0.47684390420520556,0.620218776099017,"[np.float64(0.6016), np.float64(0.4878), np.float64(0.5806), np.float64(0.4839), np.float64(0.5887)]",-0.003317092803716948,-0.0008444779619362075,-0.008090310679611634,False
V2_embeddings_raw1024_added,0.8623342151320237,0.8066082203818442,0.5129449838187702,0.9820193637621023,0.5210355987055016,0.9806362378976486,0.5130081300813008,0.08666676126648766,0.4053971327757824,0.6206191273868191,"[np.float64(0.6423), np.float64(0.4228), np.float64(0.4516), np.float64(0.5), np.float64(0.5484)]",-0.009001784867976315,-0.005608779618155757,-0.04368901618122978,False
V3_probability_instead_of_los,0.8703095695300505,0.8116260065447285,0.5339805825242718,0.9737206085753803,0.5275080906148868,0.9764868603042877,0.5340545502229215,0.04776843721780603,0.47474220147911483,0.5933668989667281,"[np.float64(0.5854), np.float64(0.5285), np.float64(0.5645), np.float64(0.4597), np.float64(0.5323)]",-0.0010264304699495463,-0.0005909934552714713,-0.022653417475728133,False
